Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth,Search Category (Phil),Search Category (Erik),Notes,Search Category,Second Category,Third Category,
census,11,1.73,18.18%,36.84%,0:03:02,0.91,organization|publication,publication,,organization,publication,,combined
colorado dola,1,6,0.00%,33.33%,0:01:26,2,organization,locational,,organization,,,single
colorado DOLA,1,2,0.00%,0.00%,0:00:13,1,organization,locational,,organization,,,single
Colorado DOLA,1,3,0.00%,33.33%,0:02:29,1,organization,locational,,organization,,,single
DRCOG,1,1,0.00%,0.00%,0:00:03,1,organization,organization,,organization,,,single
EPA fines,1,1,0.00%,100.00%,0:00:20,1,organization|publication,locational,,organization,publication,,combined
fema,1,1,0.00%,0.00%,0:00:38,1,organization,topical,,organization,,,single
national forest service,1,1,0.00%,100.00%,0:01:24,0,organization,topical,,organization,,,single
sanborn,2,1.5,50.00%,0.00%,0:00:04,0.5,organization,topical,,organization,,,single
sanborne,1,1,0.00%,100.00%,0:00:07,0,organization,topical,,organization,,,single
usfs,1,1,0.00%,100.00%,0:00:09,0,organization,topical,,organization,,,single
paul weimer,1,1,0.00%,100.00%,0:00:13,1,person,person,,person,,,single
80220,1,1,0.00%,0.00%,0:00:53,5,placename,placename,,placename,,,single
80304,1,1,0.00%,100.00%,0:00:13,0,placename,placename,,placename,,,single
80403,1,1,0.00%,100.00%,0:00:25,0,placename,placename,,placename,,,single
"""san isabel""",1,1,0.00%,100.00%,0:00:04,0,placename,placename,,placename,,,single
1743 ridge rd,1,1,0.00%,0.00%,0:00:25,3,placename,placename,,placename,,,single
"777 s wadsworth blvd, co",1,1,0.00%,100.00%,0:00:14,3,placename,placename,,placename,,,single
alamosa,2,1,0.00%,100.00%,0:00:08,0.5,placename,placename,,placename,,,single
alaska,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
All schools in colorado,2,2,0.00%,50.00%,0:00:21,0,placename|locational,locational|placename,,placename,locational,,combined
arapahoe,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
arapahoe county ditch,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
Arkansas river,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
asia,1,1,0.00%,0.00%,0:00:02,1,placename,placename,,placename,,,single
aspen,2,1,0.00%,100.00%,0:00:11,0.5,placename,placename,,placename,,,single
Aurora,1,5,0.00%,20.00%,0:00:07,0,placename,placename,,placename,,,single
Aurora CO,1,2,0.00%,50.00%,0:01:32,13,placename,topical,,placename,,,single
bierstadt lake,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
bolder,1,2,0.00%,100.00%,0:00:11,0,placename,placename,,placename,,,single
boluder,1,1,0.00%,100.00%,0:00:04,0,placename,placename,,placename,,,single
boulder,16,5.44,25.00%,9.20%,0:03:50,2.12,placename,placename,,placename,,,single
Boulder,2,6,0.00%,0.00%,0:01:39,4.5,placename,placename,,placename,,,single
boulder buildings,1,1,0.00%,0.00%,0:00:02,1,placename,placename,,placename,,,single
boulder campus,1,1,0.00%,100.00%,0:00:09,1,placename,placename,,placename,,,single
boulder contour,1,1,0.00%,100.00%,0:29:38,0,placename|datatype,placename|datatype,,placename,datatype,,combined
Boulder county,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
Boulder County,1,3,100.00%,0.00%,0:06:22,1,placename,placename,,placename,,,single
Boulder county buildings,1,2,0.00%,50.00%,0:00:43,1,placename|locational,placename,,placename,locational,,combined
Boulder County geolgy,1,1,0.00%,100.00%,0:00:06,0,placename|topical,placename|topical,,placename,topical,,combined
Boulder County geology,1,1,0.00%,100.00%,0:00:06,0,placename|topical,placename|topical,,placename,topical,,combined
boulder creek,2,1.5,0.00%,100.00%,0:00:09,0,placename,placename,,placename,,,single
