,Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth,Search Category (Phil),Search Category (Erik),Notes,Search Category,Second Category,Third Category,Unnamed: 13,lowTerms,tkTerms,stems
109,reservations,1,1.0,100.00%,0.00%,0:00:00,0.0,locational,locational,,locational,,,single,reservations,['reservations'],['reserv']
110,reservoirs,1,1.0,0.00%,0.00%,0:00:38,3.0,locational,locational,,locational,,,single,reservoirs,['reservoirs'],['reservoir']
111,riparian,1,2.0,0.00%,50.00%,0:06:15,1.0,locational,locational,,locational,,,single,riparian,['riparian'],['riparian']
112,river,4,1.0,0.00%,75.00%,0:06:44,0.25,locational,locational,,locational,,,single,river,['river'],['river']
113,River,1,1.0,0.00%,100.00%,0:01:36,5.0,locational,locational,,locational,,,single,river,['river'],['river']
114,rivers,9,3.44,22.22%,29.03%,0:01:35,1.44,locational,locational,,locational,,,single,rivers,['rivers'],['river']
115,Rivers,1,2.0,0.00%,50.00%,0:00:44,2.0,locational,locational,,locational,,,single,rivers,['rivers'],['river']
116,road,2,2.0,0.00%,50.00%,0:08:34,2.0,locational,locational,,locational,,,single,road,['road'],['road']
117,Road,1,1.0,0.00%,0.00%,0:00:05,1.0,locational,locational,,locational,,,single,road,['road'],['road']
118,Roads,1,2.0,0.00%,50.00%,0:02:56,2.0,locational,locational,,locational,,,single,roads,['roads'],['road']
119,ROADS,1,1.0,0.00%,100.00%,0:00:07,0.0,locational,locational,,locational,,,single,roads,['roads'],['road']
120,schools,2,1.5,0.00%,33.33%,0:03:32,0.5,locational,locational,,locational,,,single,schools,['schools'],['school']
121,sinkholes,1,2.0,0.00%,50.00%,0:00:05,1.0,locational,locational,,locational,,,single,sinkholes,['sinkholes'],['sinkhol']
122,south,1,1.0,0.00%,100.00%,0:08:36,0.0,locational,locational,,locational,,,single,south,['south'],['south']
123,south facing,1,1.0,0.00%,100.00%,0:00:04,0.0,locational,locational,,locational,,,single,south facing,"['south', 'facing']","['south', 'face']"
124,south slope,1,1.0,0.00%,100.00%,0:09:44,0.0,locational,locational,,locational,,,single,south slope,"['south', 'slope']","['south', 'slope']"
125,special trout water,1,1.0,0.00%,100.00%,0:00:02,0.0,locational,locational,,locational,,,single,special trout water,"['special', 'trout', 'water']","['special', 'trout', 'water']"
126,Springs,1,2.0,100.00%,0.00%,0:00:10,0.0,locational,locational,,locational,,,single,springs,['springs'],['spring']
127,state,1,3.0,100.00%,0.00%,0:00:19,0.0,locational,locational,,locational,,,single,state,['state'],['state']
128,Statewide Fire Department,1,2.0,0.00%,100.00%,0:00:06,0.0,locational,topical,,locational,,,single,statewide fire department,"['statewide', 'fire', 'department']","['statewid', 'fire', 'depart']"
129,Statewide Fire Departments,1,6.0,0.00%,33.33%,0:00:23,0.0,locational,topical,,locational,,,single,statewide fire departments,"['statewide', 'fire', 'departments']","['statewid', 'fire', 'depart']"
130,stream,5,1.8,0.00%,55.56%,0:00:35,1.0,locational,locational,,locational,,,single,stream,['stream'],['stream']
131,stream watershed,1,1.0,0.00%,100.00%,0:00:03,0.0,locational,locational,,locational,,,single,stream watershed,"['stream', 'watershed']","['stream', 'watersh']"
132,streams,17,1.94,5.88%,45.45%,0:02:21,1.71,locational,locational,,locational,,,single,streams,['streams'],['stream']
133,streams and rivers,1,1.0,0.00%,100.00%,0:00:06,0.0,locational,locational,,locational,,,single,streams and rivers,"['streams', 'and', 'rivers']","['stream', 'and', 'river']"
134,street,2,1.5,50.00%,0.00%,0:00:17,1.0,locational,locational,,locational,,,single,street,['street'],['street']
135,summits,1,1.0,0.00%,100.00%,0:00:08,0.0,locational,locational,,locational,,,single,summits,['summits'],['summit']
136,supermarkets,1,1.0,0.00%,100.00%,0:00:07,0.0,locational,locational,,locational,,,single,supermarkets,['supermarkets'],['supermarket']
137,towns,2,4.0,0.00%,25.00%,0:02:59,2.0,locational,locational,,locational,,,single,towns,['towns'],['town']
138,towns that disappeard because of water,1,2.0,0.00%,100.00%,0:00:08,0.0,locational|topical,topical,,locational,topical,,combined,towns that disappeard because of water,"['towns', 'that', 'disappeard', 'because', 'of', 'water']","['town', 'that', 'disappeard', 'becaus', 'of', 'water']"
139,township,1,1.0,0.00%,0.00%,0:00:04,1.0,locational,locational,,locational,,,single,township,['township'],['township']
140,tract,1,2.0,0.00%,50.00%,0:06:56,4.0,locational,publication,,locational,,,single,tract,['tract'],['tract']
141,tracts,3,2.0,0.00%,50.00%,0:03:09,1.67,locational,publication,,locational,,,single,tracts,['tracts'],['tract']
142,trail,1,2.0,0.00%,50.00%,0:02:02,1.0,locational,locational,,locational,,,single,trail,['trail'],['trail']
143,trailhead,1,2.0,0.00%,50.00%,0:00:28,1.0,locational,locational,,locational,,,single,trailhead,['trailhead'],['trailhead']
144,trails,8,1.62,12.50%,15.38%,0:03:33,1.5,locational,locational,,locational,,,single,trails,['trails'],['trail']
145,tunnel,3,1.0,0.00%,100.00%,0:00:49,0.67,locational,locational,,locational,,,single,tunnel,['tunnel'],['tunnel']
146,tunnels,2,1.5,0.00%,66.67%,0:00:06,0.0,locational,locational,,locational,,,single,tunnels,['tunnels'],['tunnel']
147,Tunnels,1,1.0,0.00%,100.00%,0:02:33,6.0,locational,locational,,locational,,,single,tunnels,['tunnels'],['tunnel']
148,uranium mining,1,2.0,0.00%,50.00%,0:25:29,3.0,locational,locational,,locational,,,single,uranium mining,"['uranium', 'mining']","['uranium', 'mine']"
149,water and santiation districts,1,1.0,0.00%,100.00%,0:00:35,2.0,locational,locational,,locational,,,single,water and santiation districts,"['water', 'and', 'santiation', 'districts']","['water', 'and', 'santiat', 'district']"
150,Water basin,1,2.0,0.00%,50.00%,0:00:06,1.0,locational,locational,,locational,,,single,water basin,"['water', 'basin']","['water', 'basin']"
151,water towns,1,2.0,0.00%,100.00%,0:00:29,2.0,locational,locational,,locational,,,single,water towns,"['water', 'towns']","['water', 'town']"
152,watershed,8,1.25,25.00%,50.00%,0:00:12,0.38,locational,locational,,locational,,,single,watershed,['watershed'],['watersh']
153,watersheds,6,1.33,0.00%,50.00%,0:01:42,0.67,locational,locational,,locational,,,single,watersheds,['watersheds'],['watersh']
154,well,1,2.0,100.00%,0.00%,0:00:15,0.0,locational,locational,,locational,,,single,well,['well'],['well']
155,wells,3,1.33,66.67%,25.00%,0:00:07,1.0,locational,locational,,locational,,,single,wells,['wells'],['well']
156,wilderness,1,1.0,0.00%,100.00%,0:00:09,0.0,locational,locational,,locational,,,single,wilderness,['wilderness'],['wilder']
157,wildlife collisions,1,1.0,0.00%,100.00%,0:00:06,0.0,locational,locational,,locational,,,single,wildlife collisions,"['wildlife', 'collisions']","['wildlif', 'collis']"
158,wildlife vehicle,1,2.0,0.00%,0.00%,0:02:15,2.0,locational,topical,,locational,,,single,wildlife vehicle,"['wildlife', 'vehicle']","['wildlif', 'vehicl']"
159,zip,1,1.0,0.00%,100.00%,0:00:05,0.0,locational,locational,,locational,,,single,zip,['zip'],['zip']
160,zip code,1,1.0,0.00%,100.00%,0:00:58,1.0,locational,locational,,locational,,,single,zip code,"['zip', 'code']","['zip', 'code']"
161,zip codes,2,1.0,0.00%,100.00%,0:00:33,0.0,locational,locational,,locational,,,single,zip codes,"['zip', 'codes']","['zip', 'code']"
162,zoning,1,4.0,0.00%,50.00%,0:02:07,2.0,locational,locational,,locational,,,single,zoning,['zoning'],['zone']
163,Blm,1,3.0,0.00%,33.33%,0:00:58,1.0,organization,organization,,organization,,,single,blm,['blm'],['blm']
164,cdot,1,2.0,0.00%,50.00%,0:00:22,1.0,organization,organization,,organization,,,single,cdot,['cdot'],['cdot']
165,CDOT,1,2.0,0.00%,0.00%,0:00:06,1.0,organization,organization,,organization,,,single,cdot,['cdot'],['cdot']
166,census,11,1.73,18.18%,36.84%,0:03:02,0.91,organization|publication,publication,,organization,publication,,combined,census,['census'],['censu']
167,colorado dola,1,6.0,0.00%,33.33%,0:01:26,2.0,organization,locational,,organization,,,single,colorado dola,"['colorado', 'dola']","['colorado', 'dola']"
168,colorado DOLA,1,2.0,0.00%,0.00%,0:00:13,1.0,organization,locational,,organization,,,single,colorado dola,"['colorado', 'dola']","['colorado', 'dola']"
169,Colorado DOLA,1,3.0,0.00%,33.33%,0:02:29,1.0,organization,locational,,organization,,,single,colorado dola,"['colorado', 'dola']","['colorado', 'dola']"
170,DRCOG,1,1.0,0.00%,0.00%,0:00:03,1.0,organization,organization,,organization,,,single,drcog,['drcog'],['drcog']
171,EPA fines,1,1.0,0.00%,100.00%,0:00:20,1.0,organization|publication,locational,,organization,publication,,combined,epa fines,"['epa', 'fines']","['epa', 'fine']"
172,fema,1,1.0,0.00%,0.00%,0:00:38,1.0,organization,topical,,organization,,,single,fema,['fema'],['fema']
173,national forest service,1,1.0,0.00%,100.00%,0:01:24,0.0,organization,topical,,organization,,,single,national forest service,"['national', 'forest', 'service']","['nation', 'forest', 'servic']"
174,sanborn,2,1.5,50.00%,0.00%,0:00:04,0.5,organization,topical,,organization,,,single,sanborn,['sanborn'],['sanborn']
175,sanborne,1,1.0,0.00%,100.00%,0:00:07,0.0,organization,topical,,organization,,,single,sanborne,['sanborne'],['sanborn']
176,usfs,1,1.0,0.00%,100.00%,0:00:09,0.0,organization,topical,,organization,,,single,usfs,['usfs'],['usf']
177,paul weimer,1,1.0,0.00%,100.00%,0:00:13,1.0,person,person,,person,,,single,paul weimer,"['paul', 'weimer']","['paul', 'weimer']"
178,80220,1,1.0,0.00%,0.00%,0:00:53,5.0,placename,placename,,placename,,,single,80220,['80220'],['80220']
179,80304,1,1.0,0.00%,100.00%,0:00:13,0.0,placename,placename,,placename,,,single,80304,['80304'],['80304']
180,80403,1,1.0,0.00%,100.00%,0:00:25,0.0,placename,placename,,placename,,,single,80403,['80403'],['80403']
181,"""san isabel""",1,1.0,0.00%,100.00%,0:00:04,0.0,placename,placename,,placename,,,single,"""san isabel""","['``', 'san', 'isabel', ""''""]","['``', 'san', 'isabel', ""''""]"
182,1743 ridge rd,1,1.0,0.00%,0.00%,0:00:25,3.0,placename,placename,,placename,,,single,1743 ridge rd,"['1743', 'ridge', 'rd']","['1743', 'ridg', 'rd']"
183,"777 s wadsworth blvd, co",1,1.0,0.00%,100.00%,0:00:14,3.0,placename,placename,,placename,,,single,"777 s wadsworth blvd, co","['777', 's', 'wadsworth', 'blvd', ',', 'co']","['777', 's', 'wadsworth', 'blvd', ',', 'co']"
184,alamosa,2,1.0,0.00%,100.00%,0:00:08,0.5,placename,placename,,placename,,,single,alamosa,['alamosa'],['alamosa']
185,alaska,1,1.0,100.00%,0.00%,0:00:00,0.0,placename,placename,,placename,,,single,alaska,['alaska'],['alaska']
186,All schools in colorado,2,2.0,0.00%,50.00%,0:00:21,0.0,placename|locational,locational|placename,,placename,locational,,combined,all schools in colorado,"['all', 'schools', 'in', 'colorado']","['all', 'school', 'in', 'colorado']"
